"Time","Digital_FlowMeter","Real_FlowMeter"
"2019-01-16 14:15:34","67.4000","67.4000"
"2019-01-16 14:15:35","67.4000","67.4000"
"2019-01-16 14:15:36","67.4000","67.4000"
"2019-01-16 14:15:37","67.4000","67.4000"
"2019-01-16 14:15:38","67.4000","67.4000"
"2019-01-16 14:15:39","67.4000","67.4000"
"2019-01-16 14:15:40","67.4000","67.4000"
"2019-01-16 14:15:41","67.4000","67.4000"
"2019-01-16 14:15:42","67.4000","67.4000"
"2019-01-16 14:15:43","67.4000","67.4000"
"2019-01-16 14:15:44","67.4000","67.4000"
"2019-01-16 14:15:45","67.4000","67.4000"
"2019-01-16 14:15:46","67.4000","67.4000"
"2019-01-16 14:15:47","67.4000","67.4000"
"2019-01-16 14:15:48","67.4000","67.4000"
"2019-01-16 14:15:49","67.4000","67.4000"
"2019-01-16 14:15:50","67.4000","67.4000"
"2019-01-17 06:53:07","67.4000","67.4000"
"2019-01-17 06:53:08","67.4000","67.4000"
"2019-01-17 06:53:09","67.4000","67.4000"
"2019-01-17 06:53:10","67.4000","67.4000"
"2019-01-17 06:53:11","67.4000","67.4000"
"2019-01-17 06:53:12","67.4000","67.4000"
"2019-01-17 06:53:13","67.4000","67.4000"
"2019-01-17 06:53:14","67.4000","67.4000"
"2019-01-17 06:53:15","67.4000","67.4000"
"2019-01-17 06:53:16","67.4000","67.4000"
"2019-01-17 06:53:17","67.4000","67.4000"
"2019-01-17 06:53:18","67.4000","67.4000"
"2019-01-17 06:53:19","67.4000","67.4000"
"2019-01-17 06:53:20","67.4000","67.4000"
